Distillery;Region;Year founded;Owner;Capacity / LPA
Glenlivet;Speyside;1824;Chivas Brothers Ltd. (Pernod Ricard);21000000
Glenfiddich;Speyside;1886;William Grant & Sons;21000000
Macallan;Speyside;1824;The Edrington Group;15000000
Ailsa Bay;Lowlands;2007;William Grant & Sons;12000000
Glen Ord;Highlands;1838;Diageo;11500000
Roseisle;Highlands;2009;Diageo;10800000
Dalmunach;Speyside;2015;Chivas Brothers Ltd. (Pernod Ricard);10500000
Teaninich;Highlands;1817;Diageo;10200000
Glenmorangie;Highlands;1843;The Glenmorangie Co. (LVMH);6500000
Caol Ila;Islay;1846;Diageo;6400000
Glen Grant;Speyside;1840;Campari Group;6100000
Glen Moray;Speyside;1897;Glen Turner (La Martiniquaise);6000000
Dufftown;Speyside;1896;Diageo;5900000
Miltonduff;Speyside;1824;Chivas Brothers Ltd. (Pernod Ricard);5800000
Glen Keith;Speyside;1957;Chivas Brothers Ltd. (Pernod Ricard);5700000
Auchroisk;Speyside;1974;Diageo;5700000
Balvenie;Speyside;1892;William Grant & Sons;5600000
Glenrothes;Speyside;1878;The Edrington Group;5500000
Tomatin;Highlands;1897;Tomatin Distillery Co.;5000000
Ardmore;Highlands;1898;Beam Suntory;4900000
Tormore;Speyside;1958;Elixir Distillers;4900000
Dailuaine;Speyside;1852;Diageo;4900000
Loch Lomond;Highlands;1965;Loch Lomond Group;4750000
Longmorn;Speyside;1894;Chivas Brothers Ltd. (Pernod Ricard);4700000
Clynelish;Highlands;1967;Diageo;4700000
Allt-A-Bhainne;Speyside;1975;Chivas Brothers Ltd. (Pernod Ricard);4500000
Braeval;Speyside;1973;Chivas Brothers Ltd. (Pernod Ricard);4500000
Kininvie;Speyside;1990;William Grant & Sons;4400000
Glenburgie;Speyside;1810;Chivas Brothers Ltd. (Pernod Ricard);4300000
Dalmore;Highlands;1839;Whyte & Mackay (Emperador);4300000
Speyburn;Speyside;1897;Inver House Distillers (Thai Beverages plc);4200000
Craigellachie;Speyside;1891;John Dewar & Sons (Bacardi);4200000
Tamnavulin;Speyside;1966;Whyte & Mackay (Emperador);4200000
Glentauchers;Speyside;1897;Chivas Brothers Ltd. (Pernod Ricard);4100000
Royal Brackla;Highlands;1812;John Dewar & Sons (Bacardi);4100000
Tamdhu;Speyside;1896;Ian Macleod Distillers;4000000
Glenfarclas;Speyside;1836;J. & G. Grant;4000000
GlenAllachie;Speyside;1967;The Glenallachie Distillers Co.;4000000
Aberlour;Speyside;1826;Chivas Brothers Ltd. (Pernod Ricard);3800000
Mortlach;Speyside;1823;Diageo;3800000
Linkwood;Speyside;1821;Diageo;3700000
Benrinnes;Speyside;1826;Diageo;3600000
Glendullan;Speyside;1897;Diageo;3600000
Macduff;Highlands;1962;John Dewar & Sons (Bacardi);3400000
Tomintoul;Speyside;1964;Angus Dundee Distillers;3300000
Cardhu;Speyside;1824;Diageo;3300000
Aberfeldy;Highlands;1896;John Dewar & Sons (Bacardi);3300000
Laphroaig;Islay;1815;Beam Suntory;3275000
Inchgower;Speyside;1871;Diageo;3200000
Aultmore;Speyside;1896;John Dewar & Sons (Bacardi);3200000
Bunnahabhain;Islay;1881;Burn Stewart Distillers (Distell International);3000000
Talisker;Highlands;1830;Diageo;3000000
Tullibardine;Highlands;1949;Picard Vins & Spiriteaux;2900000
Benriach;Speyside;1897;Benriach Distillery Co. (Brown Forman);2800000
Glenlossie;Speyside;1876;Diageo;2800000
Balmenach;Speyside;1824;Inver House Distillers (Thai Beverages plc);2800000
Deanston;Highlands;1965;Burn Stewart Distillers (Distell International);2700000
Highland Park;Highlands;1798;The Edrington Group;2700000
Glen Elgin;Speyside;1898;Diageo;2600000
Mannochmore;Speyside;1971;Diageo;2600000
Strathisla;Speyside;1786;Chivas Brothers Ltd. (Pernod Ricard);2500000
Blair Athol;Highlands;1798;Diageo;2500000
Glenkinchie;Lowlands;1837;Diageo;2500000
Jura;Highlands;1810;Whyte & Mackay (Emperador);2500000
Lagavulin;Islay;1816;Diageo;2400000
Fettercairn;Highlands;1824;Whyte & Mackay (Emperador);2300000
Bowmore;Islay;1779;Beam Suntory;2200000
Cragganmore;Speyside;1869;Diageo;2200000
Dalwhinnie;Highlands;1897;Diageo;2200000
Auchentoshan;Lowlands;1823;Beam Suntory;2150000
Ben Nevis;Highlands;1825;Ben Nevis Distillery Ltd (Nikka, Asahi Breweries);2000000
Strathmill;Speyside;1891;Diageo;2000000
InchDairnie;Lowlands;2015;Inchdairnie Distillery Ltd;2000000
Bruichladdich;Islay;1881;Rémy Cointreau;2000000
Glendronach;Highlands;1826;Benriach Distillery Co. (Brown Forman);1800000
Balblair;Highlands;1790;Inver House Distillers (Thai Beverages plc);1800000
Knockdhu - AnCnoc;Highlands;1893;Inver House Distillers (Thai Beverages plc);1800000
Borders;Lowlands;2017;The Three Stills Co. Ltd;1800000
Glen Spey;Speyside;1878;Diageo;1600000
Bladnoch;Lowlands;1817;Bladnoch Distillery Ltd;1500000
Scapa;Highlands;1885;Chivas Brothers Ltd. (Pernod Ricard);1475000
Glencadam;Highlands;1825;Angus Dundee Distillers;1400000
